track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cluster,pca1,pca2
Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366,4,2,50,0,0,90,4.0,0,73,31,45,85,24,11,3,3,2.253806881816778,1.2117772183345668
2055,Sleepy hallow,1,2021,4,14,2226,0,624515457,29,0,44,0,0,161,6.0,0,78,65,52,46,0,12,31,0,-0.26996664741964155,2.1630551838759873
Bored,Billie Eilish,1,2017,3,30,4204,0,777765388,39,45,250,0,0,120,7.0,1,60,11,33,90,0,8,5,3,3.421290874434339,1.1859741033808013
Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,1138474110,146,18,478,0,7,150,4.0,0,78,47,70,18,0,15,9,2,-0.7503074968229217,0.07694605846318732
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,355219175,101,12,38,0,0,105,8.0,1,76,58,84,10,0,13,10,1,-1.2241228419188241,-0.3286162821665371
Every Summertime,NIKI,1,2021,8,10,1211,2,290228626,30,2,5,0,6,79,6.0,1,63,76,67,38,0,6,4,1,-0.020919162545798384,0.3018221121455632
Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,1062956628,5,0,862,0,0,146,1.0,0,52,7,61,51,0,11,3,3,1.8280860088078537,-0.4614180131342205
you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974,167,19,318,0,1,124,4.0,1,64,8,37,79,0,9,5,3,3.0366210501627386,0.8179051836532822
The Nights,Avicii,1,2014,1,1,17354,8,1456081449,92,122,"1,282",0,55,126,6.0,1,53,66,85,2,0,24,4,1,-0.7447171865062896,-1.8423945419214964
Take My Breath,The Weeknd,1,2021,8,6,6392,0,432702334,174,73,344,0,0,121,8.0,1,75,53,74,2,0,11,5,1,-0.8199897384209094,-0.5129640885021612
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,489945871,144,30,86,0,0,136,11.0,0,80,33,60,0,0,32,14,2,-0.7164720813707757,0.1554313772007299
Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25,2636,3,465959382,36,82,39,0,5,102,9.0,0,77,26,63,58,0,11,5,2,0.6154277835348342,1.1306254656127934
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149,8,8,8,2,0,77,7.0,1,73,54,74,23,0,41,23,1,-0.7797944280798859,-0.09644497764686843
Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111,188,34,710,0,5,84,11.0,0,44,22,48,38,0,33,24,3,1.4956401092008105,0.6886005307823835
